,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50
cell_147,-11.580593,-8.9301405,-3.9973032,-3.8040173,-3.8682446,-9.123524,-1.7551486,-8.268974,1.907089,3.661171,-10.166251,-14.891145,8.061404,7.432359,-15.211623,4.2180233,6.2907934,-13.480031,2.4771354,21.033262,10.6396475,3.4093099,-11.600642,20.573841,-15.372832,-3.7328725,10.737737,-21.936762,2.9933085,-6.023475,-4.2524433,-0.4584215,11.018039,5.6873994,4.7532,11.295533,-5.6992908,1.6828349,22.366314,-9.127665,-13.454909,6.4407845,-1.129,-21.589119,-15.092476,17.518751,5.670231,3.6427863,-14.793721,-16.225845
cell_148,-7.80928,-2.952453,-3.5869555,-10.004932,-4.1755695,-1.5877794,-2.3726904,0.34192687,1.9330784,-1.1880748,-1.4756618,-23.13016,0.8396446,-0.38962665,-13.659683,4.031471,16.49508,-20.43734,-3.7196953,20.180115,1.3908217,1.2356809,-23.07672,16.953575,-13.983545,-8.814251,13.360669,-20.782597,2.6353574,-8.073461,-7.928583,5.6012926,11.265158,3.0543082,2.8587813,11.873067,-12.699744,3.160269,23.06778,-6.940039,-12.741967,7.452251,-8.72899,-16.683556,-12.649563,3.4084384,6.950604,1.8931683,-12.475703,-16.2544
cell_149,-11.003017,-3.6123888,-0.43086013,-14.231382,-9.964533,-23.009428,-0.29244983,-3.5947042,-4.8399205,1.5637276,0.04917251,-20.299799,2.6042366,8.083325,-10.67009,8.800002,8.6881,-21.441504,8.582927,23.910326,-0.5741021,3.348539,-9.546892,31.871033,-18.604382,-10.605134,22.118855,-18.81295,1.9435272,-12.079555,-12.844778,-0.7256628,10.722208,4.3414655,7.276598,12.609732,1.2790654,1.3387102,23.228134,-7.4668584,-23.396538,11.952793,-9.018469,-24.033966,-20.276892,15.251527,-0.15599853,0.59509367,-14.201948,-18.184103
cell_150,-8.8491535,0.12825185,-12.326844,-1.7662095,5.0302,-6.3484535,-0.07246671,-6.6640005,4.6926336,-0.5707542,-7.922651,-23.858982,8.865196,8.086005,-11.234324,3.3431306,3.2056932,-9.045386,3.4798846,17.279873,-2.936166,9.628884,-9.19744,21.425308,-14.095249,-7.060209,19.38681,-15.916773,2.205219,-6.9780574,-5.5311055,-2.980957,14.112233,8.399934,17.669552,14.810682,-2.527464,-2.3600073,21.562746,-9.311801,-19.600918,8.878423,6.125851,-22.074495,-7.604336,9.793623,5.97334,-3.2381291,-11.462344,-8.633223
cell_151,3.5852902,-3.725433,-11.931616,7.760985,5.792665,-18.060286,3.1843245,-14.210504,-3.9361522,5.436755,-20.571522,-18.975206,21.61112,9.866584,-11.676455,8.307727,5.6040406,-9.259654,11.030275,19.903336,13.4826975,16.237242,4.237097,19.09462,-20.088406,-19.120102,10.4827385,-14.979903,13.406973,-8.620001,3.3315427,-6.9215765,22.079136,1.5707855,18.744665,16.726463,6.706642,-4.9831004,20.176344,-7.0251045,-27.329264,2.7598746,18.929111,-28.933807,-10.193006,11.672716,0.71841186,1.6991098,-14.840426,-5.7198114
cell_152,-2.6402884,-0.87744856,-16.103203,1.4602416,-6.5632253,-16.980198,1.3444015,-2.4398746,-5.6781044,3.468879,-4.418868,-22.087358,9.611534,5.6022844,-10.463713,13.4608135,14.527383,-13.857387,13.347117,29.516682,2.3292603,13.304002,-8.103376,15.034097,-15.18196,-12.740598,21.678097,-3.6668103,5.920937,-5.476761,-0.40933543,-4.45418,14.351551,3.2686398,16.592323,19.913366,10.661299,-4.624478,14.696163,2.6053987,-26.45768,1.565768,6.352508,-21.858232,-15.526661,13.082651,3.1176722,-4.604997,-16.927824,-10.111078
cell_153,-8.76461,-10.582765,-1.7470436,-13.502902,-7.9463716,-10.79127,3.1281614,-4.178353,-2.8735232,2.9451127,0.036863558,-13.786652,5.978243,5.1692796,-9.134269,9.149312,19.909492,-13.698545,7.738701,24.101377,2.2858975,4.7325807,-13.130496,19.757788,-16.84825,-8.159731,13.093314,-14.62366,4.508837,-11.190172,-0.6471459,-3.2553372,11.996591,5.213874,2.745937,14.471466,-3.6816366,-5.0180974,19.40367,3.8416636,-16.73081,5.4815984,4.260845,-15.386788,-16.346542,10.081465,2.9825485,1.4698254,-14.147048,-21.68432
cell_154,-10.32229,-6.9021463,-1.9745888,-9.986699,-3.5650437,-6.1269393,3.4295707,-4.560175,1.8550684,2.4616127,-4.4522986,-18.841988,7.4127045,5.0238643,-14.1524105,6.434069,15.337397,-16.192219,6.5005164,22.730463,8.936647,3.4330547,-15.931836,16.585783,-21.14509,-5.6270943,11.89612,-23.28398,0.82703125,-13.259432,-2.9163017,0.16268343,9.829203,3.2988544,5.133842,11.706038,-10.088324,2.1467178,20.156065,-6.389519,-14.6106615,10.224792,5.3733554,-17.086815,-18.534594,12.160428,4.1670012,5.628595,-15.055188,-19.209028
cell_155,-10.682572,-7.213204,-6.1440854,-6.0791707,-6.5958962,-20.401125,1.6502244,-13.78405,-5.098216,5.9170036,-5.3944945,-19.431799,11.653961,4.735195,-14.9684305,6.6919384,15.537989,-12.967262,11.970406,26.360262,13.089912,7.058668,-11.90344,17.957397,-23.217707,-6.5752406,16.343094,-15.224241,9.729209,-8.902192,-8.075368,5.1066213,13.294071,4.4463964,6.1630974,14.140326,-5.134021,-4.1494255,19.212038,-4.776454,-22.09205,8.145838,2.9007165,-17.999891,-24.898426,14.303945,-0.50589514,-0.5204791,-19.012222,-15.405809
cell_156,-7.646139,-1.5381166,-5.477525,-8.213237,-0.84226304,-10.656275,-1.3567734,-2.9305942,2.264356,-3.0279038,-6.5701904,-20.67098,4.7891912,4.5373425,-14.244006,2.3009114,9.080834,-12.443948,0.3558951,17.477537,-3.2827303,-1.8716314,-17.211262,25.831665,-15.695705,-10.202035,17.680288,-22.766592,3.5591462,-9.840537,-12.887231,2.0937521,15.141542,3.6721766,7.090234,9.608276,-10.97653,-0.2537023,21.811985,-10.398168,-16.235262,9.70662,-7.9552693,-22.297586,-11.178739,10.148895,5.990012,3.6745775,-8.438222,-13.800415
